subject_number,SESSID,run,mean_tSNR,median_tSNR
sub-16,SESS03,3,40.083061,40.141669
sub-16,SESS04,4,47.119502,46.932032
sub-16,SESS05,5,47.362505,47.695537
sub-16,SESS06,6,48.535943,48.78816
sub-17,SESS01,1,43.042055,41.744572
sub-17,SESS02,2,39.214015,38.482166
sub-17,SESS03,3,38.435047,37.531959
sub-17,SESS04,4,42.925294,41.977004
sub-17,SESS05,5,44.718354,44.441495
sub-17,SESS06,6,46.910586,46.07943
sub-18,SESS01,1,25.904131,25.295186
sub-18,SESS02,2,21.879416,20.766799
sub-18,SESS03,3,32.11164,31.132731
sub-18,SESS04,4,41.236172,40.587657
sub-18,SESS05,5,42.228152,42.128039
sub-18,SESS06,6,38.568097,38.673071
sub-19,SESS01,1,40.335524,39.703573
sub-19,SESS02,2,50.162846,50.254429
sub-19,SESS03,3,48.136628,48.136652
sub-19,SESS04,4,44.682092,44.556072
sub-19,SESS05,5,43.489288,43.687458
sub-19,SESS06,6,44.960487,44.909718
sub-20,SESS01,1,36.362865,36.296976
sub-20,SESS02,2,34.079263,34.288194
sub-20,SESS03,3,33.939135,34.141525
sub-20,SESS04,4,34.74195,34.896947
sub-20,SESS05,5,33.264399,33.378523
sub-20,SESS06,6,31.547718,31.621076
sub-21,SESS01,1,46.215751,46.304896
sub-21,SESS02,2,47.35806,47.749139
sub-21,SESS03,3,46.796303,47.113339
sub-21,SESS04,4,45.620168,45.871192
sub-21,SESS05,5,46.793972,47.059673
sub-21,SESS06,6,45.176852,45.246619
sub-22,SESS01,1,48.354026,47.508975
sub-22,SESS02,2,50.867953,50.938407
sub-22,SESS03,3,49.224003,49.421622
sub-22,SESS04,4,45.705013,45.640116
sub-22,SESS05,5,48.003729,47.858864
sub-22,SESS06,6,43.756536,43.513114
sub-23,SESS01,1,44.324316,44.242714
sub-23,SESS02,2,45.787446,45.780468
sub-23,SESS03,3,47.462017,47.581381
sub-23,SESS04,4,46.915731,47.005721
sub-23,SESS05,5,47.860609,47.931177
sub-23,SESS06,6,46.027804,46.089734
sub-24,SESS01,1,48.7145,47.200104
sub-24,SESS02,2,48.683939,47.118397
sub-24,SESS03,3,42.994299,41.157681
sub-24,SESS04,4,47.230816,46.395501
sub-24,SESS05,5,39.917505,39.095946
sub-24,SESS06,6,42.008514,41.172013
sub-25,SESS01,1,47.183487,47.483839
sub-25,SESS02,2,42.587249,42.912069
sub-25,SESS03,3,41.630284,42.295891
sub-25,SESS04,4,40.832761,41.454454
sub-25,SESS05,5,42.422873,42.784655
sub-25,SESS06,6,49.083394,49.675296
sub-26,SESS01,1,35.995562,35.681242
sub-26,SESS02,2,22.961735,22.292143
sub-26,SESS03,3,27.164365,27.005023
sub-26,SESS04,4,29.099567,28.924739
sub-26,SESS05,5,21.637529,21.291541
sub-26,SESS06,6,23.200667,23.062406
sub-27,SESS01,1,44.121671,43.83458
sub-27,SESS02,2,45.232773,45.068428
sub-27,SESS03,3,45.508308,45.473656
sub-27,SESS04,4,47.939998,48.134114
sub-27,SESS05,5,49.058185,49.036861
sub-27,SESS06,6,46.549932,46.44126
sub-28,SESS01,1,39.232103,38.755535
sub-28,SESS02,2,44.015319,43.121033
sub-28,SESS03,3,43.376462,42.640641
sub-28,SESS04,4,45.56306,44.774169
sub-28,SESS05,5,41.469736,41.031507
sub-28,SESS06,6,45.299439,44.418016
sub-29,SESS01,1,36.941974,37.117564
sub-29,SESS02,2,43.659655,43.59574
sub-29,SESS03,3,33.773218,33.703098
sub-29,SESS04,4,33.629141,33.651261
sub-29,SESS05,5,42.221593,41.517367
sub-29,SESS06,6,39.212743,38.91653
sub-30,SESS01,1,34.15531,34.198013
sub-30,SESS02,2,26.569269,26.57959
sub-30,SESS03,3,27.267172,26.904025
sub-30,SESS04,4,27.745262,27.372653
sub-30,SESS05,5,32.045714,32.158167
sub-30,SESS06,6,33.775833,33.624447
sub-31,SESS01,1,40.846922,40.481461
sub-31,SESS02,2,41.333677,40.858075
sub-31,SESS03,3,38.919564,38.512182
sub-31,SESS04,4,38.014225,37.380826
sub-31,SESS05,5,38.468178,37.935962
sub-31,SESS06,6,38.057789,37.526975
sub-32,SESS01,1,41.628241,40.914254
sub-32,SESS02,2,39.170529,38.617125
sub-32,SESS03,3,40.178035,39.789907
sub-32,SESS04,4,37.749403,37.368108
sub-32,SESS05,5,38.324886,37.910232
sub-32,SESS06,6,40.931481,40.794851
sub-33,SESS01,1,34.947309,35.422954
sub-33,SESS02,2,37.886523,38.407107
sub-33,SESS03,3,38.162068,38.605595
sub-33,SESS04,4,38.821515,39.234016
sub-33,SESS05,5,40.578565,41.21008
sub-33,SESS06,6,39.22872,39.912312
sub-34,SESS01,1,30.86677,31.989378
sub-34,SESS02,2,27.872288,29.118454
sub-34,SESS03,3,28.078367,29.311339
sub-34,SESS04,4,26.88693,28.113389
sub-34,SESS05,5,28.220817,29.559013
sub-34,SESS06,6,24.980927,25.944501
sub-35,SESS01,1,53.828954,53.17512
sub-35,SESS02,2,54.977201,54.549347
sub-35,SESS03,3,55.475589,55.269466
sub-35,SESS04,4,55.228838,55.237873
sub-35,SESS05,5,56.866121,56.166255
sub-35,SESS06,6,55.982263,54.68663
sub-36,SESS01,1,44.839394,44.649595
sub-36,SESS02,2,45.529862,45.463731
sub-36,SESS03,3,46.88529,46.992962
sub-36,SESS04,4,48.248173,48.770495
sub-36,SESS05,5,46.784682,47.043814
sub-36,SESS06,6,47.385865,47.456782
sub-37,SESS01,1,44.049139,43.615758
sub-37,SESS02,2,42.582412,42.409785
sub-37,SESS03,3,45.816574,45.68759
sub-37,SESS04,4,44.629179,44.661604
sub-37,SESS05,5,41.591417,41.590803
sub-37,SESS06,6,39.268752,39.202239
sub-38,SESS01,1,42.585942,42.442594
sub-38,SESS02,2,45.793521,45.87178
sub-38,SESS03,3,49.83919,49.497581
sub-38,SESS04,4,49.357761,49.487493
sub-38,SESS05,5,52.909227,53.210809
sub-38,SESS06,6,52.254467,52.601034
sub-39,SESS01,1,45.51234,45.118574
sub-39,SESS02,2,47.595979,47.256226
sub-39,SESS03,3,48.55956,48.39308
sub-39,SESS04,4,49.598615,49.751859
sub-39,SESS05,5,45.680345,45.328704
sub-39,SESS06,6,47.280763,47.620425
sub-40,SESS01,1,46.382926,44.866796
sub-40,SESS02,2,46.059302,44.692554
sub-40,SESS03,3,43.872265,42.909111
sub-40,SESS04,4,42.054978,41.386571
sub-40,SESS05,5,42.946715,42.037654
sub-40,SESS06,6,42.249534,40.924435
sub-41,SESS01,1,43.002265,42.195378
sub-41,SESS02,2,46.184559,45.377934
sub-41,SESS03,3,46.845845,45.970476
sub-41,SESS04,4,44.865743,43.668785
sub-41,SESS05,5,43.61262,42.70251
sub-41,SESS06,6,43.459286,42.551243
sub-42,SESS01,1,46.749924,46.524332
sub-42,SESS02,2,47.953376,47.469814
sub-42,SESS03,3,46.082059,45.858144
sub-42,SESS04,4,46.445836,45.846044
sub-42,SESS05,5,43.44671,43.045416
sub-42,SESS06,6,40.099445,39.801926
sub-43,SESS01,1,43.292835,42.356373
sub-43,SESS02,2,47.497988,46.624136
sub-43,SESS03,3,41.506297,40.536568
sub-43,SESS04,4,44.373736,43.730992
sub-43,SESS05,5,42.622162,41.807002
sub-43,SESS06,6,42.278666,41.496145
sub-44,SESS01,1,48.14142,47.84774
sub-44,SESS02,2,49.324156,49.053038
sub-44,SESS03,3,50.95846,50.34013
sub-44,SESS04,4,49.327336,49.047039
sub-44,SESS05,5,52.806984,52.007365
sub-44,SESS06,6,53.040138,52.341063
sub-45,SESS01,1,52.584804,52.554762
sub-45,SESS02,2,55.827778,55.271402
sub-45,SESS03,3,52.545673,52.709775
sub-45,SESS04,4,55.838754,55.557847
sub-45,SESS05,5,55.625947,55.32917
sub-45,SESS06,6,53.332471,53.437844
sub-46,SESS01,1,48.999331,48.182662
sub-46,SESS02,2,49.224188,48.396821
sub-46,SESS03,3,48.302042,47.757001
sub-46,SESS04,4,50.280218,49.660466
sub-46,SESS05,5,50.102168,49.39273
sub-46,SESS06,6,52.014398,51.264037
sub-47,SESS01,1,32.837294,32.561686
sub-47,SESS02,2,32.640339,32.369218
sub-47,SESS03,3,32.508436,32.277271
sub-47,SESS04,4,29.860486,29.867883
sub-47,SESS05,5,30.067696,29.904446
sub-47,SESS06,6,28.294914,28.479857
sub-48,SESS01,1,40.739278,40.185464
sub-48,SESS02,2,40.845945,40.323809
sub-48,SESS03,3,35.237146,34.456133
sub-48,SESS04,4,37.227358,37.238643
sub-48,SESS05,5,34.845449,34.428818
sub-48,SESS06,6,39.190829,38.958622
sub-49,SESS01,1,50.095936,49.581908
sub-49,SESS02,2,48.283637,48.128764
sub-49,SESS03,3,45.925797,45.578272
sub-49,SESS04,4,48.020233,47.986884
sub-49,SESS05,5,47.041162,46.75719
sub-49,SESS06,6,49.24592,49.394628
sub-50,SESS01,1,34.966963,34.870072
sub-50,SESS02,2,31.486842,31.062903
sub-50,SESS03,3,38.930937,38.625215
sub-50,SESS04,4,32.283469,32.250235
sub-50,SESS05,5,31.570032,31.857587
sub-50,SESS06,6,37.434967,36.797759
sub-51,SESS01,1,45.817604,45.191253
sub-51,SESS02,2,45.136945,44.756521
sub-51,SESS03,3,48.503852,48.04766
sub-51,SESS04,4,49.813379,49.553783
sub-51,SESS05,5,51.854561,52.034762
sub-51,SESS06,6,49.260134,49.492855
sub-52,SESS01,1,43.200906,43.576541
sub-52,SESS02,2,43.049457,43.236993
sub-52,SESS03,3,43.106191,43.208
sub-52,SESS04,4,46.340355,46.848152
sub-52,SESS05,5,42.497294,42.643569
sub-52,SESS06,6,37.907929,38.226691
sub-53,SESS01,1,43.217591,42.439679
sub-53,SESS02,2,45.221808,44.467825
sub-53,SESS03,3,46.88877,45.929272
sub-53,SESS04,4,45.547726,44.437503
sub-53,SESS05,5,45.121616,44.05319
sub-53,SESS06,6,46.163123,45.386832
sub-54,SESS01,1,36.213124,35.679899
sub-54,SESS02,2,42.354572,41.631195
sub-54,SESS03,3,33.198153,30.975705
sub-54,SESS04,4,35.059119,33.45053
sub-54,SESS05,5,42.399154,41.352076
sub-54,SESS06,6,38.902475,38.145534
sub-55,SESS01,1,50.282909,49.556327
sub-55,SESS02,2,52.030873,51.126528
sub-55,SESS03,3,50.946329,50.33105
sub-55,SESS04,4,52.876762,52.451134
sub-55,SESS05,5,53.846236,53.480146
sub-55,SESS06,6,52.957328,52.493943
sub-56,SESS01,1,46.781428,46.170181
sub-56,SESS02,2,46.728346,46.308946
sub-56,SESS03,3,48.215059,48.152651
sub-56,SESS04,4,49.44383,49.67866
sub-56,SESS05,5,48.133474,48.188291
sub-56,SESS06,6,49.240941,49.067635
sub-57,SESS01,1,30.817165,29.870184
sub-57,SESS02,2,33.419285,32.655767
sub-57,SESS03,3,30.008821,29.352948
sub-57,SESS04,4,27.807138,26.973635
sub-57,SESS05,5,29.446639,28.203684
sub-57,SESS06,6,27.044302,26.240891
sub-58,SESS01,1,43.636971,43.444843
sub-58,SESS02,2,43.411676,42.961797
sub-58,SESS03,3,44.797046,44.751164
sub-58,SESS04,4,44.067404,44.038249
sub-58,SESS05,5,44.002637,44.213926
sub-58,SESS06,6,41.553181,41.649689
sub-59,SESS01,1,44.772735,44.157454
sub-59,SESS02,2,44.129606,43.519464
sub-59,SESS03,3,45.059928,44.901153
sub-59,SESS04,4,42.1542,42.108228
sub-59,SESS05,5,44.907013,44.714124
sub-59,SESS06,6,45.507794,45.266974
sub-60,SESS01,1,38.977655,38.953045
sub-60,SESS02,2,37.542174,37.913625
sub-60,SESS03,3,37.795248,37.953093
sub-60,SESS04,4,38.778081,39.046978
sub-60,SESS05,5,37.984069,38.282391
sub-60,SESS06,6,38.281437,38.713778
sub-61,SESS01,1,35.699587,35.286802
sub-61,SESS02,2,36.730694,36.263297
sub-61,SESS03,3,36.295669,35.696543
sub-61,SESS04,4,38.379937,37.940673
sub-61,SESS05,5,33.049893,33.371005
sub-61,SESS06,6,42.072334,41.827042
sub-62,SESS01,1,44.207909,43.814299
sub-62,SESS02,2,45.416341,45.180422
sub-62,SESS03,3,45.597464,45.440391
sub-62,SESS04,4,44.978071,44.714878
sub-62,SESS05,5,44.757947,44.650118
sub-62,SESS06,6,45.308596,45.278345
sub-63,SESS01,1,38.862237,38.575687
sub-63,SESS02,2,40.796937,40.856692
sub-63,SESS03,3,42.466656,42.359666
sub-63,SESS04,4,42.580304,42.45883
sub-63,SESS05,5,42.437107,41.962831
sub-63,SESS06,6,43.74239,43.428859
sub-64,SESS01,1,49.421812,48.652113
sub-64,SESS02,2,55.39615,54.462382
sub-64,SESS03,3,50.990333,50.028545
sub-64,SESS04,4,52.056575,50.912418
sub-64,SESS05,5,48.740658,47.319193
sub-64,SESS06,6,49.533937,48.637743
sub-65,SESS01,1,37.229211,35.631604
sub-65,SESS02,2,44.810762,44.087413
sub-65,SESS03,3,42.991849,41.930522
sub-65,SESS04,4,39.009749,37.958302
sub-65,SESS05,5,45.235253,44.46605
sub-65,SESS06,6,47.101107,46.269579
sub-66,SESS01,1,48.955244,48.999073
sub-66,SESS02,2,51.618281,51.323662
sub-66,SESS03,3,51.260559,51.336165
sub-66,SESS04,4,49.540325,49.663721
sub-66,SESS05,5,49.634456,49.512622
sub-66,SESS06,6,49.640942,49.386623
sub-67,SESS01,1,48.311231,47.517114
sub-67,SESS02,2,50.40782,49.503755
sub-67,SESS03,3,49.610301,49.181535
sub-67,SESS04,4,50.428284,49.901275
sub-67,SESS05,5,49.772959,49.162142
sub-67,SESS06,6,49.574963,49.182057
sub-68,SESS01,1,47.787361,46.65738
sub-68,SESS02,2,50.443307,49.294129
sub-68,SESS03,3,48.292643,47.500296
sub-68,SESS04,4,49.83186,49.375575
sub-68,SESS05,5,48.991129,48.523404
sub-68,SESS06,6,47.950423,47.303451
sub-69,SESS01,1,48.221636,47.320853
sub-69,SESS02,2,40.633198,39.337955
sub-69,SESS03,3,49.472622,49.358356
sub-69,SESS04,4,44.283313,44.084344
sub-69,SESS05,5,47.705471,46.8948
sub-69,SESS06,6,48.221344,47.257005
sub-70,SESS01,1,42.737967,42.549835
sub-70,SESS02,2,43.38336,43.121242
sub-70,SESS03,3,43.440771,43.198483
sub-70,SESS04,4,42.349446,41.985815
sub-70,SESS05,5,42.098235,42.081021
sub-70,SESS06,6,45.556974,45.666444
sub-71,SESS01,1,37.212858,36.682999
sub-71,SESS02,2,37.114414,36.683299
sub-71,SESS03,3,35.463737,34.759082
sub-71,SESS04,4,36.216265,35.475125
sub-71,SESS05,5,39.814325,39.414155
sub-71,SESS06,6,34.340043,33.971401
sub-72,SESS01,1,45.870434,46.078964
sub-72,SESS02,2,45.89637,46.742474
sub-72,SESS03,3,23.975575,23.675666
sub-72,SESS04,4,32.073942,32.74169
sub-72,SESS05,5,29.339451,30.045587
sub-72,SESS06,6,41.465764,42.12927
sub-73,SESS01,1,44.023981,43.884472
sub-73,SESS02,2,45.272665,45.462574
sub-73,SESS03,3,38.790438,39.172349
sub-73,SESS04,4,38.49583,38.851425
sub-73,SESS05,5,37.284773,37.523863
sub-73,SESS06,6,37.290132,37.641551
sub-74,SESS01,1,40.663714,40.060726
sub-74,SESS02,2,42.046809,41.697029
sub-74,SESS03,3,40.054095,39.366255
sub-74,SESS04,4,41.852224,41.155468
sub-74,SESS05,5,42.055049,41.511985
sub-74,SESS06,6,40.96522,40.578422
sub-75,SESS01,1,40.716596,40.409248
sub-75,SESS02,2,43.406568,43.017309
sub-75,SESS03,3,42.168311,42.141986
sub-75,SESS04,4,40.661684,40.727246
sub-75,SESS05,5,38.194792,38.014149
sub-75,SESS06,6,36.978336,36.754508
sub-76,SESS01,1,34.456372,34.950348
sub-76,SESS02,2,35.62555,36.127351
sub-76,SESS03,3,35.414131,36.172466
sub-76,SESS04,4,37.128943,38.142308
sub-76,SESS05,5,37.351091,38.314157
sub-76,SESS06,6,36.425455,37.690463
sub-77,SESS01,1,36.528545,36.01441
sub-77,SESS02,2,44.764327,44.424647
sub-77,SESS03,3,46.315081,45.896692
sub-77,SESS04,4,47.481727,47.143487
sub-77,SESS05,5,41.463587,41.406449
sub-77,SESS06,6,37.302487,37.413054
sub-78,SESS01,1,48.895286,48.479341
sub-78,SESS02,2,47.999632,47.444437
sub-78,SESS03,3,51.10599,50.129559
sub-78,SESS04,4,51.147751,50.30897
sub-78,SESS05,5,48.028358,47.185904
sub-78,SESS06,6,48.933579,48.341367
